http://getinco.com/	Inco	iPhone sysadmin
http://wiki.codemongers.com/Main	Main - Nginx Wiki	nginx proxy httpd
http://scie.nti.st/2007/11/14/hosting-git-repositories-the-easy-and-secure-way	scie.nti.st » Hosting Git repositories, The Easy (and Secure) Way	git howto
http://www.foundmagazine.com/images/finds/full/papercantwin.jpg?=rss	papercantwin.jpg (JPEG Image, 420x329 pixels)	funny
http://www.lifehack.org/articles/lifestyle/10-reasons-you-arent-achieving-success.html	10 Reasons You Aren’t Achieving Success - lifehack.org	lifehacks
http://www.netflixprize.com/	Netflix Prize: Home	programming contest netflix
http://code.google.com/p/thrudb/	thrudb - Google Code	c++ thrift lucene s3 ec2 database memcached spread
http://www.cs.wisc.edu/condor/condorg/linux_scalability.html	Linux Scalability	linux sysadmin ulimit
http://www.lifehack.org/articles/communication/improve-your-writing-with-these-editing-tips.html	Improve Your Writing with these Editing Tips - lifehack.org	writing advice
http://toughpigs.com/uploaded_images/yipyip2-775822.jpg	yipyip2-775822.jpg (JPEG Image, 500x335 pixels)	yip
http://www.debian-administration.org/	Debian GNU/Linux System Administration Resources	linux administration tips
http://flare.prefuse.org/	flare | visualization on the web	flash visualization library graphics
http://blog.apokalyptik.com/2007/10/10/so-you-wanna-see-an-image/	so-you-wanna-see-an-image at CodeWord: Apokalyptik	s3 scaling
http://www.debian-administration.org/articles/78	Debian Administration :: Building Debian packages of Perl modules	howto debian perl packaging
http://www.beanstalkapp.com/	Beanstalk — Hosted Subversion for team leads	free hosting svn
http://svnbook.red-bean.com/nightly/en/svn.reposadmin.maint.html#svn.reposadmin.maint.migrate	Repository Maintenance	svn
http://getsatisfaction.com/	Satisfaction - People-Powered Customer Service	business service consumer web2.0
http://zipskinny.com/	ZIPskinny - Get the Skinny on that ZIP	data reference tool
http://developer.amazonwebservices.com/connect/thread.jspa?threadID=17046	Amazon Web Services Developer Connection : HOWTO Building a self-bundling Debian ...	ec2 tutorial
http://woss.name/2006/09/19/setting-up-an-amazon-ec2-server-with-fedora-core-5/	Setting up an Amazon EC2 server with Fedora Core 5 at Notes from a messy desk	ec2 tutorial
http://pauldowman.com/projects/ruby-on-rails-ec2/	Paul Dowman » EC2 on Rails	ec2 howto server
http://www.searchenginejournal.com/11-considerations-when-hiring-a-link-building-service/5811/	11 Considerations When Hiring a Link Building Service	linkbuilding tips
http://www.startupcamp.org/	Register for Startup Camp 3, Oct 22-23, 2007	startup business conference
http://www.pages.drexel.edu/~pyo22/students/latexRelated/latexTutorial.html	Latex Tutorial	Latex tutorial reference
http://www.43folders.com/2007/08/23/how-i-made-my-presentations-little-better	How I made my presentations a little better | 43 Folders	business reference tips
http://www.techcrunch.com/wp-login.php	Techcrunch › Login	funny
http://java.sun.com/docs/books/tutorial/essential/concurrency/guardmeth.html	Guarded Blocks (The Java™ Tutorials &gt; Essential Classes &gt; Concurrency)	programming tutorial
http://3.rdrail.net/blog/children-are-great-motivators/	Children are great motivators	mia
http://web.mit.edu/e-club/hadzima/	RESOURCES FOR THE ENTREPRENEUR	business entrepreneur reference
http://www.thisisgoingtobebig.com/2007/08/meet-alex-lines.html	This is going to be BIG! - Meet Alex Lines, my co-founder &amp; CTO at Path 101	alex
http://www.mt-soft.com.ar/2007/08/18/tuning-mysql-server-boost-performance/	Tuning MySQL Server to boost performance	mysql performance optimization
http://cssjuice.com/22-code-snippets-for-creating-decent-charts/	CSS Juice » 22 Code Snippets for Creating Decent Charts	css charts javascript
http://en.poderosa.org/	index - Terminal Emulator Poderosa	windows ssh terminal tabs
http://www.realsoftwaredevelopment.com/2007/08/how-to-rate-a-s.html	Software Development in the Real World: How to Rate a Software Developer	developer work interview
http://cssjuice.com/13-online-generators-for-web-20-design/	CSS Juice - Design, Tutorial, Showcase and more » 13 Online Generators for Web 2.0 Design	Web2.0 design generator
http://jott.com/JottTalk.aspx	Jott.com - Mobile Note Taking and Hands-Free Messaging	phone text
http://mashable.com/2007/07/30/make-money-online/	Make Money Online: 100+ Tools and Resources	article money blogging
http://handbrake.m0k.org/	HandBrake	video freeware
http://www.cerealboxcovers.com/	Cereal Box Covers	cereal
http://transparent-message.xilinus.com/javascripts/pngfix.js	http://transparent-message.xilinus.com/javascripts/pngfix.js	css ie fix
http://zfs-on-fuse.blogspot.com/	ZFS on FUSE/Linux	zfs linux fuse
http://www.searchenginejournal.com/save-20-off-of-best-of-the-web-businesscom-directory-listings/5114/	Save 20% off of Best of the Web &amp; Business.com Directory Listings	seo
http://www.retailmenot.com/	Coupon codes for thousands of online stores - RetailMeNot.com	coupons shopping
http://www.linuxdevcenter.com/pub/a/linux/2002/02/28/cachefriendly.html	LinuxDevCenter.com -- Cache-Friendly Web Pages	caching http
http://emulator.mtld.mobi/emulator.php?webaddress=mostat.us&amp;emulator=nokiaN70&amp;Submit=Submit	dotmobi - mobile internet switched on	mobile emulator
http://www.veen.com/jeff/archives/000573.html	MP3 Blogs and wget, by Jeffrey Veen	wget
http://simile.mit.edu/	SIMILE Project	tools javascript development
http://sourcegear.com/diffmerge/downloads.html	SourceGear | DiffMerge | downloads	development free tool diff
http://www.seomoz.org/blog/identifying-the-linkerati	SEOmoz | Identifying the Linkerati	seo linkbuilding article linkerati
http://blog.apokalyptik.com/2006/11/13/ha-ec2-part-2-load-balancing-the-load-balancer/	HA EC2 Part #2: Load Balancing the Load Balancer at CodeWord: Apokalyptik	ec2 HA dns hack
http://www.lethargy.org/~jesus/misc/Apache2002US_HALB.pdf	Apache2002US_HALB.pdf (application/pdf Object)	scaling wackamole spread
http://daniel.haxx.se/projects/ipwhere/	ipwhere: converts IP address to country and continent	geo geocoding tool
http://www.hostip.info/	My IP Address Lookup and GeoTargeting - Community Geotarget IP Project - what country, city ip addresses map to - IP Trace	geocoding geo data
http://www.afflib.org/	AFF™: The Advanced Forensic Format	s3 c++ lib
http://www.joelonsoftware.com/articles/fog0000000018.html	Don't Let Architecture Astronauts Scare You - Joel on Software	article philosophy programming
http://varnish.projects.linpro.no/	Varnish - Trac	linux performance web tool
http://www.missingmethod.com/projects/slider.html	Slider.js Example	js web2.0 slider
http://dnevnikeklektika.com/uni-form/	Uni-Form	examples CSS
http://www.dynamicdrive.com/dynamicindex1/ddtabmenu.htm	Dynamic Drive DHTML Scripts -DD Tab Menu (5 styles)	cool css examples menu
http://www.smashingmagazine.com/2007/01/19/53-css-techniques-you-couldnt-live-without/	53 CSS-Techniques You Couldn’t Live Without | Smashing Magazine	css
http://www.panic.com/coda/	Panic - Coda - One-Window Web Development for Mac OS X	nice site javascript effects
http://www.junkdepot.com/	junkdepot.com - the marketplace for everything else	classified free sell find junk web2.0 map
http://mostat.us/	mostat.us - tiny stats for your tiny screen	stats google mobile
